Area,Month,age_label,index_column
Hollywood,7,40-59,259
Hollywood,7,60-79,74
Hollywood,7,>=80,7
Hollywood,8,0-19,254
Hollywood,8,20-39,518
Hollywood,8,40-59,226
Hollywood,8,60-79,74
Hollywood,8,>=80,6
Hollywood,9,0-19,229
Hollywood,9,20-39,489
Hollywood,9,40-59,243
Hollywood,9,60-79,70
Hollywood,9,>=80,3
Hollywood,10,0-19,257
Hollywood,10,20-39,474
Hollywood,10,40-59,250
Hollywood,10,60-79,83
Hollywood,10,>=80,5
Hollywood,11,0-19,251
Hollywood,11,20-39,419
Hollywood,11,40-59,198
Hollywood,11,60-79,73
Hollywood,11,>=80,8
Hollywood,12,0-19,214
Hollywood,12,20-39,413
Hollywood,12,40-59,200
Hollywood,12,60-79,49
Hollywood,12,>=80,5
Mission,1,0-19,241
Mission,1,20-39,282
Mission,1,40-59,220
Mission,1,60-79,63
Mission,1,>=80,1
Mission,2,0-19,233
Mission,2,20-39,257
Mission,2,40-59,219
Mission,2,60-79,63
Mission,2,>=80,4
Mission,3,0-19,214
Mission,3,20-39,296
Mission,3,40-59,231
Mission,3,60-79,83
Mission,3,>=80,6
Mission,4,0-19,210
Mission,4,20-39,287
Mission,4,40-59,204
Mission,4,60-79,61
Mission,4,>=80,10
Mission,5,0-19,219
Mission,5,20-39,309
Mission,5,40-59,240
Mission,5,60-79,61
Mission,5,>=80,10
Mission,6,0-19,180
Mission,6,20-39,308
Mission,6,40-59,204
Mission,6,60-79,69
Mission,6,>=80,4
Mission,7,0-19,215
Mission,7,20-39,287
Mission,7,40-59,197
Mission,7,60-79,55
Mission,7,>=80,2
Mission,8,0-19,223
Mission,8,20-39,241
Mission,8,40-59,196
Mission,8,60-79,67
Mission,8,>=80,3
Mission,9,0-19,213
Mission,9,20-39,254
Mission,9,40-59,177
Mission,9,60-79,59
Mission,9,>=80,2
Mission,10,0-19,213
Mission,10,20-39,230
Mission,10,40-59,178
Mission,10,60-79,44
Mission,10,>=80,6
Mission,11,0-19,205
Mission,11,20-39,277
Mission,11,40-59,198
Mission,11,60-79,48
Mission,11,>=80,8
Mission,12,0-19,212
Mission,12,20-39,288
Mission,12,40-59,191
Mission,12,60-79,60
Mission,12,>=80,10
N Hollywood,1,0-19,317
N Hollywood,1,20-39,327
N Hollywood,1,40-59,217
N Hollywood,1,60-79,84
N Hollywood,1,>=80,6
N Hollywood,2,0-19,252
N Hollywood,2,20-39,315
N Hollywood,2,40-59,183
N Hollywood,2,60-79,78
N Hollywood,2,>=80,11
N Hollywood,3,0-19,299
N Hollywood,3,20-39,339
N Hollywood,3,40-59,211
N Hollywood,3,60-79,98
N Hollywood,3,>=80,7
N Hollywood,4,0-19,283
N Hollywood,4,20-39,313
N Hollywood,4,40-59,243
N Hollywood,4,60-79,83
N Hollywood,4,>=80,7
N Hollywood,5,0-19,323
N Hollywood,5,20-39,385
N Hollywood,5,40-59,222
N Hollywood,5,60-79,77
N Hollywood,5,>=80,10
N Hollywood,6,0-19,296
N Hollywood,6,20-39,350
N Hollywood,6,40-59,209
N Hollywood,6,60-79,90
N Hollywood,6,>=80,12
N Hollywood,7,0-19,243
N Hollywood,7,20-39,384
N Hollywood,7,40-59,210
N Hollywood,7,60-79,84
N Hollywood,7,>=80,7
N Hollywood,8,0-19,279
N Hollywood,8,20-39,345
N Hollywood,8,40-59,245
N Hollywood,8,60-79,79
N Hollywood,8,>=80,11
N Hollywood,9,0-19,264
N Hollywood,9,20-39,322
N Hollywood,9,40-59,198
N Hollywood,9,60-79,76
N Hollywood,9,>=80,7
N Hollywood,10,0-19,268
N Hollywood,10,20-39,336
N Hollywood,10,40-59,188
N Hollywood,10,60-79,73
N Hollywood,10,>=80,6
N Hollywood,11,0-19,237
N Hollywood,11,20-39,322
N Hollywood,11,40-59,217
N Hollywood,11,60-79,78
N Hollywood,11,>=80,10
N Hollywood,12,0-19,249
N Hollywood,12,20-39,366
N Hollywood,12,40-59,210
N Hollywood,12,60-79,88
N Hollywood,12,>=80,14
Newton,1,0-19,312
Newton,1,20-39,292
Newton,1,40-59,167
Newton,1,60-79,41
Newton,1,>=80,4
Newton,2,0-19,331
Newton,2,20-39,412
Newton,2,40-59,202
Newton,2,60-79,52
Newton,2,>=80,5
Newton,3,0-19,369
Newton,3,20-39,328
Newton,3,40-59,216
Newton,3,60-79,48
Newton,3,>=80,1
Newton,4,0-19,336
Newton,4,20-39,359
Newton,4,40-59,196
Newton,4,60-79,55
Newton,4,>=80,4
Newton,5,0-19,395
Newton,5,20-39,352
Newton,5,40-59,218
Newton,5,60-79,53
Newton,5,>=80,4
Newton,6,0-19,363
Newton,6,20-39,434
Newton,6,40-59,208
Newton,6,60-79,62
Newton,6,>=80,2
Newton,7,0-19,320
Newton,7,20-39,422
Newton,7,40-59,248
Newton,7,60-79,60
Newton,7,>=80,4
Newton,8,0-19,320
Newton,8,20-39,397
Newton,8,40-59,228
Newton,8,60-79,58
Newton,8,>=80,2
Newton,9,0-19,350
Newton,9,20-39,402
Newton,9,40-59,248
Newton,9,60-79,66
Newton,9,>=80,4
Newton,10,0-19,341
Newton,10,20-39,386
Newton,10,40-59,229
Newton,10,60-79,62
Newton,11,0-19,344
Newton,11,20-39,363
Newton,11,40-59,214
Newton,11,60-79,32
Newton,11,>=80,2
Newton,12,0-19,284
Newton,12,20-39,389
Newton,12,40-59,220
Newton,12,60-79,47
Newton,12,>=80,2
Northeast,1,0-19,298
Northeast,1,20-39,229
Northeast,1,40-59,200
Northeast,1,60-79,86
Northeast,1,>=80,4
Northeast,2,0-19,282
Northeast,2,20-39,243
Northeast,2,40-59,172
Northeast,2,60-79,63
Northeast,2,>=80,5
Northeast,3,0-19,300
Northeast,3,20-39,261
Northeast,3,40-59,175
Northeast,3,60-79,77
Northeast,3,>=80,8
Northeast,4,0-19,277
Northeast,4,20-39,281
Northeast,4,40-59,202
Northeast,4,60-79,76
Northeast,4,>=80,14
Northeast,5,0-19,326
Northeast,5,20-39,281
Northeast,5,40-59,214
Northeast,5,60-79,69
Northeast,5,>=80,8
Northeast,6,0-19,246
Northeast,6,20-39,330
Northeast,6,40-59,199
Northeast,6,60-79,65
Northeast,6,>=80,7
Northeast,7,0-19,284
Northeast,7,20-39,292
Northeast,7,40-59,236
Northeast,7,60-79,66
Northeast,7,>=80,6
Northeast,8,0-19,293
Northeast,8,20-39,305
Northeast,8,40-59,188
Northeast,8,60-79,83
Northeast,8,>=80,9
Northeast,9,0-19,251
Northeast,9,20-39,307
Northeast,9,40-59,181
Northeast,9,60-79,71
Northeast,9,>=80,7
Northeast,10,0-19,247
Northeast,10,20-39,326
Northeast,10,40-59,221
Northeast,10,60-79,82
Northeast,10,>=80,10
Northeast,11,0-19,232
Northeast,11,20-39,277
Northeast,11,40-59,198
Northeast,11,60-79,84
Northeast,11,>=80,8
Northeast,12,0-19,234
Northeast,12,20-39,269
Northeast,12,40-59,226
Northeast,12,60-79,85
Northeast,12,>=80,16
Olympic,1,0-19,280
Olympic,1,20-39,422
Olympic,1,40-59,222
Olympic,1,60-79,83
Olympic,1,>=80,5
Olympic,2,0-19,284
Olympic,2,20-39,414
Olympic,2,40-59,186
Olympic,2,60-79,61
Olympic,2,>=80,2
Olympic,3,0-19,294
Olympic,3,20-39,427
Olympic,3,40-59,207
Olympic,3,60-79,63
Olympic,3,>=80,5
Olympic,4,0-19,314
Olympic,4,20-39,446
Olympic,4,40-59,186
Olympic,4,60-79,85
Olympic,4,>=80,7
Olympic,5,0-19,293
Olympic,5,20-39,392
Olympic,5,40-59,217
Olympic,5,60-79,80
Olympic,5,>=80,9
Olympic,6,0-19,297
Olympic,6,20-39,423
Olympic,6,40-59,239
Olympic,6,60-79,62
Olympic,6,>=80,11
Olympic,7,0-19,309
Olympic,7,20-39,397
Olympic,7,40-59,214
Olympic,7,60-79,70
Olympic,7,>=80,5
Olympic,8,0-19,281
Olympic,8,20-39,424
Olympic,8,40-59,205
Olympic,8,60-79,69
Olympic,8,>=80,6
Olympic,9,0-19,269
Olympic,9,20-39,421
Olympic,9,40-59,235
Olympic,9,60-79,77
Olympic,9,>=80,11
Olympic,10,0-19,327
Olympic,10,20-39,448
Olympic,10,40-59,215
Olympic,10,60-79,89
Olympic,10,>=80,7
Olympic,11,0-19,245
Olympic,11,20-39,361
Olympic,11,40-59,184
Olympic,11,60-79,77
Olympic,11,>=80,8
Olympic,12,0-19,264
Olympic,12,20-39,376
Olympic,12,40-59,241
Olympic,12,60-79,76
Olympic,12,>=80,8
Pacific,1,0-19,339
Pacific,1,20-39,427
Pacific,1,40-59,235
Pacific,1,60-79,99
Pacific,1,>=80,11
Pacific,2,0-19,254
Pacific,2,20-39,369
Pacific,2,40-59,228
Pacific,2,60-79,96
Pacific,2,>=80,8
Pacific,3,0-19,339
Pacific,3,20-39,433
Pacific,3,40-59,283
Pacific,3,60-79,140
Pacific,3,>=80,16
Pacific,4,0-19,325
Pacific,4,20-39,455
Pacific,4,40-59,267
Pacific,4,60-79,100
Pacific,4,>=80,8
Pacific,5,0-19,319
Pacific,5,20-39,407
Pacific,5,40-59,290
Pacific,5,60-79,112
Pacific,5,>=80,6
Pacific,6,0-19,278
Pacific,6,20-39,383
Pacific,6,40-59,249
Pacific,6,60-79,86
Pacific,6,>=80,14
Pacific,7,0-19,336
Pacific,7,20-39,398
Pacific,7,40-59,248
Pacific,7,60-79,100
Pacific,7,>=80,9
